id,symbol,price,qty,status,lastUpdate
1,PINS,164.36041,2234,NORMAL,2024-12-28T10:30:00
2,ZS,1535.12208,1725,ALERT,2024-12-28T10:30:01
3,SQ,1285.48065,5537,NORMAL,2024-12-28T10:30:02
4,CRM,1513.35264,2160,CLOSED,2024-12-28T10:30:03
5,CAT,2317.37025,8390,ALERT,2024-12-28T10:30:04
6,DISH,1838.84695,3638,ALERT,2024-12-28T10:30:05
7,NOC,1012.13206,2249,CLOSED,2024-12-28T10:30:06
8,LMT,1422.26964,3221,PENDING,2024-12-28T10:30:07
9,C,621.56948,7932,ALERT,2024-12-28T10:30:08
10,HON,39.77621,4763,NORMAL,2024-12-28T10:30:09
11,CMG,441.71879,1982,ALERT,2024-12-28T10:30:10
12,MOH,1112.13066,8397,PENDING,2024-12-28T10:30:11
13,COP,2318.90660,4435,NORMAL,2024-12-28T10:30:12
14,XLP,2375.27802,7888,ALERT,2024-12-28T10:30:13
15,NOW,98.37438,575,CLOSED,2024-12-28T10:30:14
16,XEL,1747.84964,7407,PENDING,2024-12-28T10:30:15
17,LYFT,194.32708,9221,ACTIVE,2024-12-28T10:30:16
18,DVN,2114.62714,3830,NORMAL,2024-12-28T10:30:17
19,ICE,301.32488,6867,ACTIVE,2024-12-28T10:30:18
20,ORCL,2331.16752,5984,CLOSED,2024-12-28T10:30:19
21,ADBE,1139.78370,1366,ALERT,2024-12-28T10:30:20
22,UAL,2008.68240,7476,CLOSED,2024-12-28T10:30:21
23,MRNA,1576.81428,7566,ALERT,2024-12-28T10:30:22
24,XLU,1214.55527,4422,CLOSED,2024-12-28T10:30:23
25,SCHW,1205.56338,1867,ALERT,2024-12-28T10:30:24
26,NET,2402.83282,3676,ACTIVE,2024-12-28T10:30:25
27,COST,70.42325,932,ACTIVE,2024-12-28T10:30:26
28,AMZN,2025.14531,3503,PENDING,2024-12-28T10:30:27
29,D,2453.66815,3063,CLOSED,2024-12-28T10:30:28
30,LUMN,801.80695,7256,ACTIVE,2024-12-28T10:30:29
31,AWK,828.91393,7926,ALERT,2024-12-28T10:30:30
32,C,2409.27272,8828,CLOSED,2024-12-28T10:30:31
33,CAT,1237.98507,5086,PENDING,2024-12-28T10:30:32
34,HUM,1339.13731,1896,ALERT,2024-12-28T10:30:33
35,HUBS,2248.62534,4644,ALERT,2024-12-28T10:30:34
36,KO,2347.58802,9830,NORMAL,2024-12-28T10:30:35
37,DLR,1929.11256,4416,PENDING,2024-12-28T10:30:36
38,USB,1924.55923,9833,NORMAL,2024-12-28T10:30:37
39,MSFT,32.25581,687,ACTIVE,2024-12-28T10:30:38
40,ED,554.70686,4933,ACTIVE,2024-12-28T10:30:39
41,AMGN,2022.27036,6883,ALERT,2024-12-28T10:30:40
42,CI,939.38300,3153,ACTIVE,2024-12-28T10:30:41
43,DIS,143.62043,6406,NORMAL,2024-12-28T10:30:42
44,CMG,1439.34763,2075,CLOSED,2024-12-28T10:30:43
45,JNJ,931.99526,1943,CLOSED,2024-12-28T10:30:44
46,TM,1174.89628,9824,ACTIVE,2024-12-28T10:30:45
47,V,1428.41153,4017,CLOSED,2024-12-28T10:30:46
48,XPEV,1646.59852,8920,CLOSED,2024-12-28T10:30:47
49,XPEV,328.80984,9288,CLOSED,2024-12-28T10:30:48
50,DOCU,2464.77321,1525,ACTIVE,2024-12-28T10:30:49
51,DDOG,843.11937,7741,ACTIVE,2024-12-28T10:30:50
52,D,2074.20046,9466,ACTIVE,2024-12-28T10:30:51
53,UPS,990.94365,4275,PENDING,2024-12-28T10:30:52
54,ZS,1827.38481,8611,PENDING,2024-12-28T10:30:53
55,AMAT,1519.35398,979,ACTIVE,2024-12-28T10:30:54
56,DUK,55.63125,2300,ALERT,2024-12-28T10:30:55
57,SNOW,1267.82762,428,ALERT,2024-12-28T10:30:56
58,XEL,2095.00082,1310,PENDING,2024-12-28T10:30:57
59,HMC,1427.77443,7981,PENDING,2024-12-28T10:30:58
60,CMCSA,1952.91870,2233,ACTIVE,2024-12-28T10:30:59
61,ABNB,1743.57433,9958,NORMAL,2024-12-28T10:31:00
62,DLR,552.80120,928,ALERT,2024-12-28T10:31:01
63,VTI,1030.72120,6553,PENDING,2024-12-28T10:31:02
64,GILD,2345.39042,2340,ALERT,2024-12-28T10:31:03
65,UNH,2155.55011,7800,CLOSED,2024-12-28T10:31:04
66,MCO,153.50181,3245,NORMAL,2024-12-28T10:31:05
67,NEE,906.57974,6771,NORMAL,2024-12-28T10:31:06
68,WEC,199.02457,5809,CLOSED,2024-12-28T10:31:07
69,KO,2336.06757,8496,NORMAL,2024-12-28T10:31:08
70,PANW,932.35748,4672,PENDING,2024-12-28T10:31:09
71,CI,2264.64350,1148,PENDING,2024-12-28T10:31:10
72,UNP,1639.22235,4360,ALERT,2024-12-28T10:31:11
73,PEP,2160.90204,9992,ACTIVE,2024-12-28T10:31:12
74,GLD,954.40351,6859,CLOSED,2024-12-28T10:31:13
75,GD,1803.84851,6234,PENDING,2024-12-28T10:31:14
76,VWO,939.78955,3318,CLOSED,2024-12-28T10:31:15
77,VWO,2132.19902,8615,CLOSED,2024-12-28T10:31:16
78,ROKU,954.23389,7248,ACTIVE,2024-12-28T10:31:17
79,JPM,1730.15992,5609,ACTIVE,2024-12-28T10:31:18
80,CMCSA,17.80222,1143,CLOSED,2024-12-28T10:31:19
81,BMY,2155.19820,7519,ALERT,2024-12-28T10:31:20
82,LMT,776.27576,6788,ACTIVE,2024-12-28T10:31:21
83,MOH,1620.19112,851,ACTIVE,2024-12-28T10:31:22
84,DDOG,1868.00726,3214,ALERT,2024-12-28T10:31:23
85,BMY,298.77770,8330,PENDING,2024-12-28T10:31:24
86,BNTX,836.43823,7891,CLOSED,2024-12-28T10:31:25
87,AVGO,1666.11009,2797,CLOSED,2024-12-28T10:31:26
88,PEP,710.19176,6484,NORMAL,2024-12-28T10:31:27
89,XLF,439.70408,5506,ALERT,2024-12-28T10:31:28
90,GM,624.47502,4293,ALERT,2024-12-28T10:31:29
91,COF,1421.14887,5441,ACTIVE,2024-12-28T10:31:30
92,PANW,333.05860,8623,CLOSED,2024-12-28T10:31:31
93,LI,103.92545,403,CLOSED,2024-12-28T10:31:32
94,XLP,1585.03634,3477,ALERT,2024-12-28T10:31:33
95,ZM,1136.44452,4961,CLOSED,2024-12-28T10:31:34
96,SNPS,2328.46281,5079,CLOSED,2024-12-28T10:31:35
97,NSC,1122.36265,9104,ALERT,2024-12-28T10:31:36
98,UNP,522.19553,837,CLOSED,2024-12-28T10:31:37
99,CDNS,1918.63390,5403,ALERT,2024-12-28T10:31:38
100,XLU,687.12958,5656,ALERT,2024-12-28T10:31:39
101,WMT,1719.91398,428,ALERT,2024-12-28T10:31:40
102,MA,2408.25767,5501,ALERT,2024-12-28T10:31:41
103,TFC,686.67778,9515,PENDING,2024-12-28T10:31:42
104,MPC,2449.71525,1877,ALERT,2024-12-28T10:31:43
105,GD,2389.21385,1064,NORMAL,2024-12-28T10:31:44
106,BOTZ,2039.99520,6448,ALERT,2024-12-28T10:31:45
107,AEP,688.83350,3205,ACTIVE,2024-12-28T10:31:46
108,NOC,121.21877,6399,PENDING,2024-12-28T10:31:47
109,PYPL,1270.16937,8894,CLOSED,2024-12-28T10:31:48
110,HMC,830.72226,183,NORMAL,2024-12-28T10:31:49
111,BA,2070.04771,6765,NORMAL,2024-12-28T10:31:50
112,LUMN,106.08796,7384,NORMAL,2024-12-28T10:31:51
113,ADI,407.81098,7132,ACTIVE,2024-12-28T10:31:52
114,VZ,2172.92232,8034,NORMAL,2024-12-28T10:31:53
115,SHOP,640.85280,7108,ALERT,2024-12-28T10:31:54
116,QQQ,873.23751,508,ACTIVE,2024-12-28T10:31:55
117,MOH,1584.06077,7448,ACTIVE,2024-12-28T10:31:56
118,LUMN,591.97035,904,PENDING,2024-12-28T10:31:57
119,XLP,139.19403,3624,ALERT,2024-12-28T10:31:58
120,CHTR,874.02834,4322,CLOSED,2024-12-28T10:31:59
121,XOM,1303.63251,2263,NORMAL,2024-12-28T10:32:00
122,DPZ,1114.06170,7893,ACTIVE,2024-12-28T10:32:01
123,GILD,1006.82136,6638,CLOSED,2024-12-28T10:32:02
124,XLU,419.10369,6683,NORMAL,2024-12-28T10:32:03
125,DFS,274.17417,3023,ALERT,2024-12-28T10:32:04
126,DUK,757.80414,8145,NORMAL,2024-12-28T10:32:05
127,META,1878.36460,6692,ALERT,2024-12-28T10:32:06
128,DPZ,1090.78386,599,NORMAL,2024-12-28T10:32:07
129,DPZ,1209.80737,2990,CLOSED,2024-12-28T10:32:08
130,NIO,1657.77611,2164,ALERT,2024-12-28T10:32:09
131,CNI,105.90708,8203,CLOSED,2024-12-28T10:32:10
132,MU,645.11413,5323,ALERT,2024-12-28T10:32:11
133,SMH,2193.71444,209,ACTIVE,2024-12-28T10:32:12
134,AMZN,1095.46024,2334,ACTIVE,2024-12-28T10:32:13
135,KO,1874.76681,5765,CLOSED,2024-12-28T10:32:14
136,PFE,1654.22526,3947,ALERT,2024-12-28T10:32:15
137,AIQ,1912.35647,3526,ALERT,2024-12-28T10:32:16
138,CME,873.12701,2801,ALERT,2024-12-28T10:32:17
139,SNOW,59.94878,1583,ACTIVE,2024-12-28T10:32:18
140,XOM,1387.30815,6659,ALERT,2024-12-28T10:32:19
141,AWK,1208.74834,4581,CLOSED,2024-12-28T10:32:20
142,GOOGL,2122.39979,5217,NORMAL,2024-12-28T10:32:21
143,ARKW,798.62506,7362,CLOSED,2024-12-28T10:32:22
144,ADI,1489.76832,5175,CLOSED,2024-12-28T10:32:23
145,DVN,1976.61462,1078,ALERT,2024-12-28T10:32:24
146,ZS,2376.92106,2341,CLOSED,2024-12-28T10:32:25
147,XOM,211.59581,5788,NORMAL,2024-12-28T10:32:26
148,XPEV,605.21266,3550,CLOSED,2024-12-28T10:32:27
149,LI,44.75804,8668,CLOSED,2024-12-28T10:32:28
150,ROKU,2328.75469,9369,PENDING,2024-12-28T10:32:29
151,CAT,1761.93779,8760,PENDING,2024-12-28T10:32:30
152,DISH,1155.70780,7733,PENDING,2024-12-28T10:32:31
153,SHOP,488.06709,5624,ACTIVE,2024-12-28T10:32:32
154,FANG,2150.70077,5720,ALERT,2024-12-28T10:32:33
155,DPZ,1927.10523,3127,PENDING,2024-12-28T10:32:34
156,ARKK,1274.75460,2321,ALERT,2024-12-28T10:32:35
157,CSCO,846.40211,883,ALERT,2024-12-28T10:32:36
158,NOC,167.54035,6003,PENDING,2024-12-28T10:32:37
159,SNOW,1985.11156,2024,NORMAL,2024-12-28T10:32:38
160,AMAT,727.93436,6271,CLOSED,2024-12-28T10:32:39
161,PYPL,1668.15335,1800,ACTIVE,2024-12-28T10:32:40
162,NOC,906.70717,4065,ALERT,2024-12-28T10:32:41
163,XLI,1965.13678,1365,CLOSED,2024-12-28T10:32:42
164,GS,1408.51922,5261,NORMAL,2024-12-28T10:32:43
